benchmark,seed,scorer,N,selected_real_utility,selected_latent_value,selected_value_pred,selected_risk,latent_real_gap
CartPole-v1,32,raw_value,1,13.830123005123088,94.13493922252064,94.39204259762943,0.7072844827586207,80.30481621739756
CartPole-v1,32,raw_value,2,13.122854558095785,102.21440896925812,102.52383304369371,0.8376157476218787,89.09155441116233
CartPole-v1,32,raw_value,4,12.919558225503183,107.98840646736616,108.3574318847914,0.9394238603788001,95.06884824186298
CartPole-v1,32,raw_value,8,12.842318901051463,110.59971739532439,111.03113019170284,0.9902304179669,97.75739849427293
CartPole-v1,32,raw_value,16,12.860648031178995,111.1452872483701,111.62200207574855,0.9997261248856232,98.2846392171911
CartPole-v1,32,raw_value,32,12.952480320659745,111.26090849795187,111.75106050088289,0.9999997843193388,98.30842817729213
CartPole-v1,32,raw_value,64,13.066276880987473,111.36360198075302,111.8374333171681,0.9999999999998758,98.29732509976554
CartPole-v1,32,uncertainty_pessimism,1,13.830123005123086,94.13493922252063,94.39204259762941,0.7072844827586208,80.30481621739754
CartPole-v1,32,uncertainty_pessimism,2,13.124364704259943,102.21407990395214,102.52345779547501,0.837068779726516,89.0897151996922
CartPole-v1,32,uncertainty_pessimism,4,12.92062681276519,107.98780257697392,108.35688258838272,0.9386321952870835,95.06717576420873
CartPole-v1,32,uncertainty_pessimism,8,12.842497066232099,110.5994464246895,111.03094487323217,0.989956160720508,97.7569493584574
CartPole-v1,32,uncertainty_pessimism,16,12.860648739742997,111.14527545326581,111.62199618584484,0.9997163760906195,98.28462671352281
CartPole-v1,32,uncertainty_pessimism,32,12.952480324859401,111.26090849188412,111.75106049834653,0.9999997789140876,98.30842816702472
CartPole-v1,32,uncertainty_pessimism,64,13.066276880987477,111.36360198075302,111.8374333171681,0.9999999999998749,98.29732509976554
CartPole-v1,32,belief_consistency,1,13.830123005123086,94.13493922252064,94.39204259762943,0.7072844827586209,80.30481621739756
CartPole-v1,32,belief_consistency,2,13.135770541922597,102.20753337206176,102.51736135450024,0.8354822198275862,89.07176283013916
CartPole-v1,32,belief_consistency,4,12.927640397105558,107.97954979295118,108.3493901100084,0.9366543745561237,95.05190939584561
CartPole-v1,32,belief_consistency,8,12.843914235399488,110.59677219221595,111.02863726105247,0.9893314306777597,97.75285795681646
CartPole-v1,32,belief_consistency,16,12.860682684643828,111.14518795260406,111.62192745590121,0.9996972286202229,98.28450526796023
CartPole-v1,32,belief_consistency,32,12.952480335489884,111.26090845149595,111.75106047025143,0.9999997708452882,98.30842811600607
CartPole-v1,32,belief_consistency,64,13.066276880987477,111.363601980753,111.83743331716809,0.9999999999998741,98.29732509976553
CartPole-v1,32,pilot_calibrated,1,13.830123005123077,94.13493922252061,94.39204259762946,0.7072844827586208,80.30481621739753
CartPole-v1,32,pilot_calibrated,2,14.66764532383776,86.26907832272539,86.47677765272742,0.5687949613555291,71.60143299888763
CartPole-v1,32,pilot_calibrated,4,16.10999370783228,79.75298406610861,79.94108184540873,0.4515228402385995,63.64299035827633
CartPole-v1,32,pilot_calibrated,8,18.479880701817116,75.5629841441917,75.73708019891494,0.369925184225909,57.083103442374586
CartPole-v1,32,pilot_calibrated,16,22.018232676912262,72.88215878905687,73.02835713411852,0.3060886988798677,50.86392611214461
CartPole-v1,32,pilot_calibrated,32,26.901491506893485,70.46294563476883,70.57377022955922,0.25628736207152303,43.56145412787534
CartPole-v1,32,pilot_calibrated,64,33.66711683451681,67.82297490011757,67.90782765158131,0.22405702459397853,34.15585806560076
