hidden_mode_probability,clue_strength,horizon,scorer,N,selected_real_utility,selected_latent_value,selected_value_pred,selected_risk,latent_real_gap
0.45,0.05,3,raw_value,1,0.5848163962005508,4.529804256053017,4.519841261595793,0.48003565868563086,3.944987859852467
0.45,0.05,3,raw_value,8,0.6370826089239741,7.1213947851314385,7.143252295450235,0.8793314411110881,6.484312176207465
0.45,0.05,3,raw_value,64,0.3125895508877265,7.933598529711416,8.005775439518658,0.9839309900128669,7.621008978823689
0.45,0.05,3,combined_repair,1,0.5848163962005485,4.529804256053012,4.519841261595782,0.48003565868563075,3.9449878598524637
0.45,0.05,3,combined_repair,8,1.0567956725486458,3.693382796460069,3.706389150423753,0.34837810808710357,2.6365871239114234
0.45,0.05,3,combined_repair,64,1.7236629592594177,4.301821347281662,4.303088507705292,0.4559153668665821,2.5781583880222447
0.45,0.05,3,oracle,1,0.5848163962005513,4.529804256053021,4.519841261595789,0.480035658685631,3.9449878598524695
0.45,0.05,3,oracle,8,2.9349192921297647,6.552358610272273,6.559970679889275,0.798556676088664,3.617439318142508
0.45,0.05,3,oracle,64,3.4178735797084725,7.83546785271885,7.869636122756022,0.9721344855944706,4.417594273010377
0.45,0.05,5,raw_value,1,0.5840096383156724,7.81708333654173,7.811648087502982,0.5082090856988842,7.2330736982260575
0.45,0.05,5,raw_value,8,0.2821375158678506,11.870342753676118,11.864684859974105,0.8804916567787693,11.588205237808268
0.45,0.05,5,raw_value,64,0.7913526948590627,13.068326203266693,13.095878903183527,0.9714403972560031,12.27697350840763
0.45,0.05,5,combined_repair,1,0.5840096383156661,7.817083336541727,7.8116480875029835,0.5082090856988836,7.233073698226061
0.45,0.05,5,combined_repair,8,1.8298653110321388,7.364761515207834,7.363859912360831,0.4680216048319944,5.534896204175696
0.45,0.05,5,combined_repair,64,2.610563347042997,9.160700559593215,9.17320027281022,0.6454974157903806,6.550137212550218
0.45,0.05,5,oracle,1,0.5840096383156693,7.817083336541726,7.811648087502985,0.5082090856988838,7.233073698226057
0.45,0.05,5,oracle,8,4.679867909688253,10.746916083163288,10.736121879781274,0.7843655401296494,6.067048173475035
0.45,0.05,5,oracle,64,5.477080299832899,12.889081445510184,12.872475754156108,0.9601685916686681,7.412001145677285
0.45,0.05,8,raw_value,1,1.4643322597558006,11.90382064545931,11.909914200284648,0.47017913992054494,10.439488385703509
0.45,0.05,8,raw_value,8,1.7444904330893685,18.623210813829623,18.628929726690803,0.8623634489372818,16.878720380740255
0.45,0.05,8,raw_value,64,4.272297860706852,20.412962543546467,20.459933644297568,0.9499405362714851,16.140664682839613
0.45,0.05,8,combined_repair,1,1.4643322597557968,11.903820645459302,11.909914200284641,0.47017913992054455,10.439488385703505
0.45,0.05,8,combined_repair,8,3.5445449176127397,13.175174598358119,13.16567986038883,0.5509757807152997,9.630629680745379
0.45,0.05,8,combined_repair,64,6.798710127142108,17.072531857332088,17.042132529734296,0.7849724350945074,10.27382173018998
0.45,0.05,8,oracle,1,1.4643322597558035,11.903820645459303,11.90991420028464,0.47017913992054444,10.4394883857035
0.45,0.05,8,oracle,8,7.198807791399082,17.26614615760743,17.26309885566768,0.7886331994988874,10.067338366208348
0.45,0.05,8,oracle,64,8.287887795342485,20.307811740202247,20.32991290102394,0.946055368013255,12.019923944859762
0.45,0.1,3,raw_value,1,0.36467851044925303,4.640291716695601,4.6380185448430735,0.49917738380057264,4.275613206246348
0.45,0.1,3,raw_value,8,-0.027194431968381484,7.175170093391688,7.182108911946793,0.8863775149824827,7.202364525360069
0.45,0.1,3,raw_value,64,-0.7818160698172384,7.889688906535905,7.961743583705344,0.9763815510432021,8.671504976353143
0.45,0.1,3,combined_repair,1,0.3646785104492534,4.640291716695593,4.6380185448430735,0.49917738380057286,4.27561320624634
0.45,0.1,3,combined_repair,8,1.9018276602197541,5.172797038133309,5.174125564163003,0.5823764830199271,3.2709693779135547
0.45,0.1,3,combined_repair,64,3.0054390341789174,6.85909903026016,6.867538323735528,0.8441888900600731,3.8536599960812428
0.45,0.1,3,oracle,1,0.36467851044925403,4.640291716695596,4.638018544843069,0.4991773838005725,4.275613206246342
0.45,0.1,3,oracle,8,2.87333747203362,6.410186583716612,6.384278176938897,0.7776889132912407,3.5368491116829923
0.45,0.1,3,oracle,64,3.3944445800430785,7.764654343914093,7.7122855902340754,0.963485221562442,4.3702097638710145
0.45,0.1,5,raw_value,1,1.0234328376416166,7.864024036717281,7.85439012763845,0.5121651121885852,6.840591199075664
0.45,0.1,5,raw_value,8,1.3209349061026243,11.953800290082118,11.954453006538401,0.8871737510748691,10.632865383979492
0.45,0.1,5,raw_value,64,0.6604553439544811,12.911753690807851,12.910204970529191,0.95975120464162,12.25129834685337
0.45,0.1,5,combined_repair,1,1.0234328376416213,7.86402403671727,7.854390127638438,0.5121651121885844,6.840591199075648
0.45,0.1,5,combined_repair,8,3.196412627490751,9.017661286849984,9.009492632201075,0.631938898825917,5.821248659359233
0.45,0.1,5,combined_repair,64,4.389717788915469,11.035875834374165,11.018815191868354,0.8168016668732728,6.646158045458696
