benchmark,seed,raw_latent_delta_n64_vs_n1,raw_real_delta_n64_vs_n1,raw_risk_delta_n64_vs_n1,combined_repair_n64_improvement_over_raw,oracle_n64_gap_over_repair
CartPole-v1,32,17.228662758232375,-0.7638461241356147,0.2927155172412551,20.60905230821446,2.3488333482796406
CartPole-v1,33,17.78182682260436,-0.9783432300570549,0.3127909482756991,9.112172498547325,11.706611761635124
CartPole-v1,34,19.17516157517484,-0.7453080667858583,0.3193211206867459,10.237044124264262,5.554890057096095
CartPole-v1,35,18.257779805109095,-2.4759335832838385,0.32292025860291285,7.135567769813896,14.788756043182204
CartPole-v1,36,15.215076178023267,-0.2847415245827065,0.2673653017241373,13.70497957735494,1.350057384931489
CartPole-v1,37,17.866530818083646,-1.6351117984480847,0.3244127155170756,9.555302458878753,13.339908022790638
MountainCar-v0,32,36.56949566764087,6.162090039361544,0.563676106848805,2.9110935884091305e-11,3.488779043436807e-09
MountainCar-v0,33,30.238108046646857,4.3875552389180115,0.4614778325123092,0.0,0.5196066532667771
MountainCar-v0,34,36.39024522816706,6.321251773851486,0.5593288162739848,-1.9987567156931618e-11,1.9552572894099285e-09
MountainCar-v0,35,34.88317828263092,5.5257770536081665,0.537709359457934,-6.181721801112872e-13,1.737845423122053e-10
MountainCar-v0,36,30.28455468344755,5.00053219461919,0.4663669950738768,0.0,7.105427357601002e-15
MountainCar-v0,37,33.97373190117043,3.23177489096868,0.5261206896252131,-2.1316282072803006e-14,4.3876013933186186e-11
Acrobot-v1,32,20.36590499643306,-1.5325134332816077,0.5051046798027103,0.6500463778186543,11.586736007582687
Acrobot-v1,33,18.89387473189167,-1.8313738907043273,0.4750307881773329,2.8253117043332736,11.022567762787162
Acrobot-v1,34,23.00286781923972,-2.591578992179052,0.5759975352004383,3.5945871238469636,8.112950181078944
Acrobot-v1,35,21.412139558666336,-1.56539886184909,0.5354310344666717,5.392104909613849,5.783645062282602
Acrobot-v1,36,20.519794173396228,-1.528343572075343,0.526871921179257,0.9229779413900872,10.821344398403298
Acrobot-v1,37,20.62569692868198,-1.8274703649430535,0.5125862068959872,3.4110230926170573,9.882365446674527
