family,seed,episode,N,scorer,return,mode,mean_action,train_loss
controlled,27,0,1,raw_value,-2.458157951624609,heavy,0.6339987016760583,
controlled,27,0,1,combined_repair,-2.458157951624609,heavy,0.6339987016760583,
controlled,27,0,1,random,-2.458157951624609,heavy,0.6339987016760583,
controlled,27,0,1,oracle,-2.458157951624609,heavy,0.6339987016760583,
controlled,27,0,8,raw_value,-4.31074185504,heavy,0.9345767110367506,
controlled,27,0,8,combined_repair,0.5575426847110103,heavy,0.09683596939851886,
controlled,27,0,8,random,-1.2033395627934305,heavy,0.4274004235878959,
controlled,27,0,8,oracle,0.5575426847110103,heavy,0.09683596939851886,
controlled,27,0,64,raw_value,-4.639210173197206,heavy,0.9783589159721782,
controlled,27,0,64,combined_repair,0.863182997500769,heavy,0.018933115637243227,
controlled,27,0,64,random,-2.0285337896178097,heavy,0.5662038077032306,
controlled,27,0,64,oracle,0.9360987868059175,heavy,0.0015017785331976562,
controlled,27,1,1,raw_value,-2.909150705184403,slip,0.5885359390860098,
controlled,27,1,1,combined_repair,-2.909150705184403,slip,0.5885359390860098,
controlled,27,1,1,random,-2.909150705184403,slip,0.5885359390860098,
controlled,27,1,1,oracle,-2.909150705184403,slip,0.5885359390860098,
controlled,27,1,8,raw_value,-4.860881476483911,slip,0.8648650466592965,
controlled,27,1,8,combined_repair,0.012951339975155213,slip,0.12941466260603085,
controlled,27,1,8,random,-1.4694143971306435,slip,0.3440167567838011,
controlled,27,1,8,oracle,0.012951339975155213,slip,0.12941466260603085,
controlled,27,1,64,raw_value,-5.7483536666359925,slip,0.9833592495016303,
controlled,27,1,64,combined_repair,0.5654207367978832,slip,0.035038403381756046,
controlled,27,1,64,random,-4.017648640594178,slip,0.7509360648855129,
controlled,27,1,64,oracle,0.6212745722210932,slip,0.025546353150984753,
controlled,27,2,1,raw_value,-4.619197425624832,blocked,0.7290265968660292,
controlled,27,2,1,combined_repair,-4.619197425624832,blocked,0.7290265968660292,
controlled,27,2,1,random,-4.619197425624832,blocked,0.7290265968660292,
controlled,27,2,1,oracle,-4.619197425624832,blocked,0.7290265968660292,
controlled,27,2,8,raw_value,-6.199797921409155,blocked,0.907968082396996,
controlled,27,2,8,combined_repair,0.44293059250895195,blocked,0.07709153457704003,
controlled,27,2,8,random,-3.82471917540222,blocked,0.6316965376617916,
controlled,27,2,8,oracle,0.44293059250895195,blocked,0.07709153457704003,
controlled,27,2,64,raw_value,-7.025104244654765,blocked,0.9957756621187681,
controlled,27,2,64,combined_repair,0.43111865976633335,blocked,0.07879754609631558,
controlled,27,2,64,random,-4.528983403555749,blocked,0.7159844382072422,
controlled,27,2,64,oracle,0.8726078642122926,blocked,0.011068336778839722,
controlled,27,3,1,raw_value,-1.3011514874950514,heavy,0.4442592657103825,
controlled,27,3,1,combined_repair,-1.3011514874950514,heavy,0.4442592657103825,
controlled,27,3,1,random,-1.3011514874950514,heavy,0.4442592657103825,
controlled,27,3,1,oracle,-1.3011514874950514,heavy,0.4442592657103825,
controlled,27,3,8,raw_value,-3.8410280315701684,heavy,0.8705909243927918,
controlled,27,3,8,combined_repair,0.14266729974420908,heavy,0.1902038739511905,
controlled,27,3,8,random,-1.6781491420817003,heavy,0.5306761830626154,
controlled,27,3,8,oracle,0.37224520555581,heavy,0.13478257338803695,
controlled,27,3,64,raw_value,-4.8030431262,heavy,1.0,
controlled,27,3,64,combined_repair,0.4235878455538985,heavy,0.1224769409519596,
controlled,27,3,64,random,-1.2004447843685135,heavy,0.4426846350372825,
controlled,27,3,64,oracle,0.8318099339867291,heavy,0.028067212317379703,
controlled,27,4,1,raw_value,-4.515545173079984,slip,0.8168042742455486,
controlled,27,4,1,combined_repair,-4.515545173079984,slip,0.8168042742455486,
controlled,27,4,1,random,-4.515545173079984,slip,0.8168042742455486,
controlled,27,4,1,oracle,-4.515545173079984,slip,0.8168042742455486,
controlled,27,4,8,raw_value,-5.558098146543052,slip,0.9596247664088974,
controlled,27,4,8,combined_repair,-0.10827049323774025,slip,0.15413501440912442,
controlled,27,4,8,random,-4.246191729682502,slip,0.7725803925216886,
controlled,27,4,8,oracle,-0.10827049323774025,slip,0.15413501440912442,
controlled,27,4,64,raw_value,-5.519632915721005,slip,0.9539839832177062,
controlled,27,4,64,combined_repair,0.5548565424736142,slip,0.03752694243542687,
controlled,27,4,64,random,-2.7670643558695183,slip,0.5688666553159548,
controlled,27,4,64,oracle,0.6716250876228379,slip,0.016331615705982305,
controlled,27,5,1,raw_value,3.8078792813394404,free,0.6026114102938547,
controlled,27,5,1,combined_repair,3.8078792813394404,free,0.6026114102938547,
controlled,27,5,1,random,3.8078792813394404,free,0.6026114102938547,
controlled,27,5,1,oracle,3.8078792813394404,free,0.6026114102938547,
controlled,27,5,8,raw_value,4.998020276589012,free,0.8551528528201462,
controlled,27,5,8,combined_repair,2.028385156428082,free,0.21680177439994663,
controlled,27,5,8,random,3.5134643992654504,free,0.5277112830806867,
controlled,27,5,8,oracle,5.079447101701704,free,0.8721048045667207,
controlled,27,5,64,raw_value,5.481680370272492,free,0.9627203564541391,
controlled,27,5,64,combined_repair,1.3663854660966037,free,0.08430695370003692,
controlled,27,5,64,random,2.599378129205842,free,0.33936343460626583,
controlled,27,5,64,oracle,5.5473450983320705,free,0.9770512161225777,
controlled,27,6,1,raw_value,-3.7259119916808316,slip,0.7028860087100821,
controlled,27,6,1,combined_repair,-3.7259119916808316,slip,0.7028860087100821,
controlled,27,6,1,random,-3.7259119916808316,slip,0.7028860087100821,
controlled,27,6,1,oracle,-3.7259119916808316,slip,0.7028860087100821,
controlled,27,6,8,raw_value,-4.837413950820784,slip,0.8632772802361378,
controlled,27,6,8,combined_repair,0.3140691857538703,slip,0.07777223568725662,
controlled,27,6,8,random,-2.0812643915716675,slip,0.4564098470048701,
controlled,27,6,8,oracle,0.3140691857538703,slip,0.07777223568725662,
controlled,27,6,64,raw_value,-5.8803474349,slip,1.0,
controlled,27,6,64,combined_repair,0.19196949980942035,slip,0.09874432002515914,
controlled,27,6,64,random,-4.210826600290115,slip,0.7651167993162156,
controlled,27,6,64,oracle,0.5612529885714919,slip,0.036339945314817726,
controlled,27,7,1,raw_value,4.525062794775846,free,0.745976396790072,
controlled,27,7,1,combined_repair,4.525062794775846,free,0.745976396790072,
